4295,12411,12750
5153,6197,7763
6118,7763,6197
7798,5153,7763
6118,6197,5153
1371,6118,5153
7746,7763,6118
6096,7798,7763
7789,5153,7798
7789,1371,5153
5143,1371,7789
7507,6118,1371
7735,7746,6118
6287,7763,7746
6287,6096,7763
577,6096,6287
6310,7798,6096
3694,7789,7798
3605,5143,7789
7759,1371,5143
7759,7507,1371
7747,7507,7759
7700,6118,7507
7670,7735,6118
12350,7746,7735
7704,6287,7746
506,577,6287
7803,6096,577
8796,6310,6096
424,7798,6310
424,3694,7798
8781,3694,424
8771,7789,3694
8764,3605,7789
7759,5143,3605
7769,7759,3605
7769,7747,7759
7752,7747,7769
7707,7507,7747
7697,7700,7507
5836,6118,7700
5836,7670,6118
6246,7670,5836
12350,7735,7670
6573,12350,7670
7704,7746,12350
7741,7704,12350
506,6287,7704
7741,506,7704
3365,506,7741
7803,577,506
7804,7803,506
8796,6096,7803
8799,8796,7803
8795,6310,8796
8792,424,6310
5637,8781,424
8771,3694,8781
5599,8771,8781
8764,7789,8771
8751,8764,8771
8751,3605,8764
6539,3605,8751
6539,7769,3605
7801,7769,6539
7754,7752,7769
7707,7747,7752
7708,7707,7752
7708,7507,7707
7697,7507,7708
7689,7697,7708
6246,7700,7697
7700,6246,5836
6573,7670,6246
7687,6573,6246
8770,12350,6573
7703,7741,12350
7703,3365,7741
12351,3365,7703
8799,7803,7804
1331,8799,7804
6818,8796,8799
8797,8795,8796
8792,6310,8795
8793,8792,8795
7389,424,8792
5880,5637,424
96,8781,5637
96,5599,8781
7160,5599,96
8765,8771,5599
8765,8751,8771
8746,8751,8765
5626,6539,8751
7833,7801,6539
7754,7769,7801
7712,7754,7801
7692,7752,7754
7708,3118,7752
3118,7689,7708
551,7689,3118
6246,7697,7689
6574,6246,7689
7682,7687,6246
7683,8770,6573
9481,12350,8770
9481,7703,12350
12351,7703,9481
6173,12351,9481
2274,8799,1331
2274,6818,8799
5400,6818,2274
8797,8796,6818
5400,8797,6818
8793,8797,5400
8797,8793,8795
7389,8792,8793
5400,7389,8793
442,7389,5400
5880,424,7389
442,5880,7389
5490,5880,442
8395,5637,5880
8395,96,5637
6405,96,8395
6405,7160,96
5138,7160,6405
8765,5599,7160
8746,8765,7160
8737,8746,7160
5626,8751,8746
8741,5626,8746
2316,6539,5626
2316,7833,6539
7816,7833,2316
7816,7801,7833
1291,7801,7816
1291,7712,7801
7478,7712,1291
7692,7754,7712
7740,7692,7712
7752,7210,7692
3118,7210,7752
3118,7690,7210
11368,551,3118
7660,7689,551
7660,6574,7689
7659,6574,7660
7682,6246,6574
7671,7682,6574
6573,7687,7682
7683,6573,7682
7688,7683,7682
7688,8770,7683
6572,8770,7688
11177,9481,8770
11177,6173,9481
6377,6173,11177
430,5490,442
8395,5880,5490
8381,8395,5490
8780,6405,8395
8780,5138,6405
5138,8859,8780
5384,7160,5138
5384,8737,7160
8737,5713,5384
8741,8746,8737
8741,8732,8737
2316,5626,8741
4341,2316,8741
8726,7816,2316
821,1291,7816
821,7478,1291
6149,7478,821
3113,7712,7478
3113,7740,7712
7740,8713,3113
7692,3596,7740
7210,3596,7692
7210,7690,3596
7690,7734,3596
3118,1286,7690
11368,1286,3118
11368,7690,1286
11368,6424,7690
7663,551,11368
3085,7660,551
3665,7659,7660
6575,6574,7659
6575,7671,6574
11166,7671,6575
7688,7682,7671
11166,7688,7671
8768,7688,11166
11170,6572,7688
11177,8770,6572
6377,11177,6572
11170,6377,6572
10778,6377,11170
6216,6173,6377
5400,430,442
5483,5490,430
97,8381,5490
8395,5504,8381
8861,8780,8395
8859,8861,8780
8859,5504,8861
5138,8510,8859
5384,5713,5138
8737,8732,5713
8729,8732,5713
8741,5079,8732
5079,4341,8741
5456,4341,5079
5456,2316,4341
8726,2316,5456
8719,8726,5456
8719,7816,8726
821,7816,8719
6149,821,8719
5456,6149,8719
6591,6149,5456
1035,7478,6149
2430,3113,7478
2430,8713,3113
3218,8713,2430
7740,7734,8713
7734,7740,3596
7690,6424,7734
26,6424,7734
11368,7203,6424
3085,7663,11368
7663,3085,551
3086,7660,3085
3937,3665,7660
6575,7659,3665
10166,6575,3665
8768,11166,6575
10166,8768,6575
4763,8768,10166
11176,7688,8768
11176,11170,7688
5313,11170,11176
5313,10778,11170
5831,10778,5313
5831,6377,10778
6216,6377,5831
11168,6216,5831
97,5490,5483
97,4490,5483
5504,97,8381
5504,6407,97
8395,8861,5504
8860,8859,5504
8854,8510,8859
5138,8518,8510
8053,8729,5713
8036,8732,8729
5079,8036,8732
5079,8714,8036
8668,5456,5079
8668,6591,5456
8698,6591,8668
3430,6149,6591
3451,1035,6149
2430,7478,1035
2430,4955,1035
1912,3218,2430
2788,8713,3218
26,7734,8713
2788,26,8713
7722,26,2788
7694,6424,26
7694,7203,6424
7686,7203,7694
11368,3587,7203
6723,3085,11368
7664,3086,3085
3937,7660,3086
7664,3937,3086
11367,3937,7664
7596,3665,3937
7596,10166,3665
4763,10166,7596
3271,4763,7596
11163,5313,11176
9611,5831,5313
9611,11168,5831
6732,11168,9611
4490,6483,5483
97,6407,4490
6407,5325,4490
5139,5504,6407
5139,8860,5504
3790,8860,5139
8853,8859,8860
8853,8854,8859
7523,8854,8853
8518,8510,8854
8749,8518,8854
5138,8758,8518
8518,8053,5713
8734,8729,8053
8714,8036,8729
8708,8714,8729
5079,4647,8714
8023,8668,5079
5464,8698,8668
3430,6591,8698
1920,3430,8698
3451,6149,3430
3451,1921,3430
1035,4955,3451
5844,4955,3451
1912,2430,4955
5845,1912,4955
5845,3218,1912
1058,3218,5845
7722,2788,3218
2176,7722,3218
7694,26,7722
7686,7694,7722
1014,7686,7722
3585,7203,7686
7668,3587,7203
11368,6723,3587
7668,6723,3587
11795,6723,7668
7664,3085,6723
11367,7664,6723
11800,11367,6723
11903,3937,11367
3271,7596,3937
11903,3271,3937
11782,3271,11903
11169,5313,11163
5438,9611,5313
11365,6732,9611
6483,1400,5483
4490,5325,6483
10440,5325,6483
6793,6407,5325
6743,5139,6407
6743,3790,5139
3841,3790,6743
8853,8860,3790
5346,8853,3790
8522,7523,8853
8749,8854,7523
8009,8749,7523
8053,8518,8749
4808,8053,8749
8758,5713,8518
8758,5138,5713
4259,8734,8053
4259,8729,8734
5156,8729,4259
5156,8708,8729
8699,8708,5156
8685,8714,8708
8685,4647,8714
