2083,0,1736
1736,2453,2083
0,3347,1736
2083,2364,0
2453,3671,2083
1736,2863,2453
3347,359,1736
0,3542,3347
2364,178,0
2083,1191,2364
3671,1006,2083
2453,4348,3671
2863,4348,2453
2863,3720,4348
359,128,1736
3347,2791,359
3542,985,3347
0,178,3542
178,2829,3542
2364,1163,178
1191,1276,2364
4348,209,3671
3720,1840,4348
2863,1596,3720
128,2743,1736
359,1695,128
2791,709,359
3347,985,2791
985,2030,2791
3542,2435,985
2829,2435,3542
2829,2455,2435
178,3087,2829
1163,3087,178
1163,1703,3087
2364,308,1163
1276,308,2364
1191,3633,1276
209,1012,3671
4348,1840,209
1840,3246,209
3720,1924,1840
1596,4325,3720
2863,1463,1596
2743,2863,1736
128,2863,2743
128,1463,2863
128,1695,1463
1695,1596,1463
1695,4024,1596
359,3796,1695
709,3796,359
709,2929,3796
2791,2030,709
2030,417,709
985,2882,2030
2435,2882,985
2435,2236,2882
2455,3274,2435
2829,4202,2455
3087,4202,2829
3087,1360,4202
1703,1360,3087
1703,1274,1360
1163,1512,1703
308,1205,1163
3633,308,1276
1191,3671,3633
1012,3633,3671
1012,605,3633
209,3246,1012
3246,4073,1012
1840,1522,3246
1924,1522,1840
1924,3349,1522
3720,3397,1924
4325,3397,3720
4325,3746,3397
1596,4049,4325
4024,4049,1596
4024,2125,4049
1695,2695,4024
3796,3890,1695
2929,3890,3796
2929,2049,3890
709,417,2929
417,1444,2929
2030,1441,417
2882,2908,2030
2236,330,2882
2435,3274,2236
3274,481,2236
2455,1973,3274
4202,1199,2455
1360,1199,4202
1360,601,1199
1274,601,1360
1274,867,601
1703,2417,1274
1512,2417,1703
1512,2578,2417
1163,1205,1512
1205,2578,1512
1205,1865,2578
308,2570,1205
1191,1006,3671
605,1547,3633
1012,4073,605
4073,2183,605
3246,2734,4073
1522,2734,3246
1522,1317,2734
3349,153,1522
1924,3397,3349
3397,3219,3349
3746,3219,3397
3746,1420,3219
4325,1313,3746
4049,1313,4325
4049,2125,1313
2125,2925,1313
4024,4461,2125
2695,2939,4024
1695,3890,2695
3890,2939,2695
3890,1253,2939
2049,1253,3890
2049,650,1253
2929,1444,2049
1444,3066,2049
417,1441,1444
1441,2107,1444
2030,2908,1441
2908,2260,1441
2882,330,2908
330,2260,2908
330,4372,2260
2236,3619,330
481,3619,2236
481,536,3619
3274,1973,481
1973,2098,481
2455,1199,1973
1199,730,1973
601,730,1199
601,4,730
867,1550,601
1274,807,867
2417,807,1274
2417,4459,807
2578,4347,2417
1865,3373,2578
1205,2570,1865
2570,142,1865
308,1547,2570
1547,308,3633
605,4380,1547
2183,4380,605
2183,2878,4380
4073,4055,2183
2734,324,4073
1317,324,2734
1317,1015,324
1522,153,1317
153,1955,1317
3349,1261,153
3219,2813,3349
1420,2813,3219
1420,3090,2813
3746,38,1420
1313,38,3746
1313,3096,38
2925,3096,1313
2925,4228,3096
2125,2755,2925
4461,2755,2125
4461,1982,2755
4024,2939,4461
2939,1253,4461
1253,3402,4461
650,2021,1253
2049,3066,650
3066,3660,650
1444,4144,3066
2107,4144,1444
2107,2043,4144
1441,2260,2107
2260,2148,2107
4372,659,2260
330,3619,4372
3619,3629,4372
536,3629,3619
536,1396,3629
481,441,536
2098,441,481
2098,4422,441
1973,2056,2098
730,2056,1973
730,4,2056
4,3900,2056
601,957,4
1550,957,601
1550,1672,957
867,1584,1550
807,3329,867
4459,3329,807
4459,2380,3329
2417,4347,4459
4347,2161,4459
2578,3715,4347
3373,3715,2578
3373,3703,3715
1865,790,3373
142,790,1865
142,1219,790
2570,745,142
1547,4380,2570
4380,745,2570
4380,2062,745
2878,2062,4380
2878,2690,2062
2183,3541,2878
4055,3541,2183
4055,3497,3541
4073,324,4055
324,3497,4055
324,1015,3497
1015,2638,3497
1317,1955,1015
1955,2293,1015
153,2573,1955
1261,2573,153
1261,1153,2573
3349,2813,1261
2813,2252,1261
3090,2252,2813
3090,108,2252
1420,943,3090
38,943,1420
38,3096,943
3096,3561,943
4228,3561,3096
4228,2645,3561
2925,4446,4228
2755,2176,2925
1982,2176,2755
1982,2284,2176
4461,3402,1982
3402,4226,1982
1253,2021,3402
2021,4226,3402
2021,4367,4226
650,3428,2021
3660,770,650
3066,3898,3660
4144,3898,3066
4144,1395,3898
2043,1395,4144
2043,3689,1395
2107,2148,2043
2148,3601,2043
2260,659,2148
659,3601,2148
659,1450,3601
4372,2311,659
3629,2311,4372
3629,1866,2311
1396,1866,3629
1396,1327,1866
536,2014,1396
441,2014,536
441,3440,2014
4422,3440,441
4422,2933,3440
2098,2056,4422
2056,2933,4422
2056,3900,2933
3900,3105,2933
4,638,3900
957,638,4
957,2219,638
1672,2219,957
1672,2931,2219
1550,3702,1672
1584,3702,1550
1584,3329,3702
3329,1584,867
2380,3932,3329
4459,2161,2380
2161,1473,2380
4347,3715,2161
3715,3703,2161
3703,1543,2161
3373,1219,3703
1219,3373,790
142,1864,1219
745,1043,142
2062,706,745
2690,706,2062
2690,1398,706
2878,3541,2690
3541,4252,2690
3497,4117,3541
2638,4117,3497
2638,4307,4117
1015,2293,2638
2293,3190,2638
1955,2776,2293
2573,4007,1955
1153,4007,2573
1153,2302,4007
1261,2252,1153
2252,2269,1153
108,2269,2252
108,3963,2269
3090,2969,108
943,2969,3090
943,4145,2969
3561,4145,943
3561,2645,4145
2645,1577,4145
4228,4446,2645
4446,1660,2645
2925,4193,4446
2284,2371,2176
1982,4226,2284
4226,4367,2284
4367,3877,2284
2021,3428,4367
3428,3877,4367
3428,1229,3877
650,770,3428
770,2087,3428
3660,50,770
3898,327,3660
1395,327,3898
1395,2155,327
3689,2155,1395
3689,1886,2155
2043,3601,3689
3601,2096,3689
1450,2527,3601
659,2311,1450
2311,694,1450
1866,694,2311
1866,3673,694
1327,3673,1866
1327,4250,3673
1396,94,1327
2014,94,1396
2014,2354,94
3440,2354,2014
3440,3308,2354
2933,1300,3440
3105,1300,2933
3105,2946,1300
3900,4317,3105
638,4317,3900
638,2219,4317
2219,2394,4317
2931,2394,2219
2931,2744,2394
1672,3089,2931
3702,3089,1672
3702,1676,3089
3329,3932,3702
3932,2119,3702
2380,1473,3932
1473,1502,3932
2161,3103,1473
1543,3103,2161
1543,1023,3103
3703,2168,1543
1219,2168,3703
1219,3833,2168
1864,3833,1219
1864,4369,3833
142,1043,1864
1043,4369,1864
1043,1,4369
745,706,1043
706,1,1043
706,623,1
1398,623,706
1398,2799,623
2690,4252,1398
4252,305,1398
3541,4117,4252
4117,3259,4252
4307,3259,4117
4307,2811,3259
2638,3190,4307
3190,4498,4307
2293,2906,3190
2776,2906,2293
2776,2302,2906
1955,4007,2776
2302,2776,4007
1153,151,2302
2269,151,1153
2269,3610,151
3963,3610,2269
3963,2359,3610
108,3878,3963
2969,3878,108
2969,4145,3878
4145,693,3878
1577,729,4145
2645,1660,1577
1660,2579,1577
4446,4193,1660
4193,4010,1660
2925,2176,4193
2176,2371,4193
2371,4010,4193
2371,411,4010
2284,1064,2371
3877,1064,2284
3877,1229,1064
1229,726,1064
3428,2087,1229
2087,2153,1229
770,800,2087
50,800,770
50,3844,800
3660,327,50
327,2995,50
2155,2995,327
2155,2106,2995
1886,2106,2155
1886,1531,2106
3689,2096,1886
2096,1078,1886
3601,2527,2096
2527,1824,2096
1450,694,2527
694,1209,2527
3673,1209,694
3673,4250,1209
4250,3010,1209
1327,1506,4250
94,727,1327
2354,1242,94
3308,3255,2354
3440,1300,3308
1300,555,3308
2946,555,1300
2946,889,555
3105,3840,2946
4317,3840,3105
4317,3108,3840
2394,3108,4317
2394,1469,3108
2744,3666,2394
2931,4451,2744
3089,4159,2931
1676,4159,3089
1676,3233,4159
3702,2119,1676
2119,2662,1676
3932,1502,2119
1502,4022,2119
1473,3783,1502
3103,3783,1473
3103,3300,3783
1023,1211,3103
1543,2168,1023
2168,1065,1023
3833,3350,2168
4369,4267,3833
1,255,4369
623,3185,1
2799,3185,623
2799,203,3185
1398,352,2799
305,352,1398
305,2877,352
4252,3259,305
3259,854,305
2811,854,3259
2811,159,854
4307,4498,2811
4498,4351,2811
3190,2952,4498
2906,2952,3190
2906,2313,2952
2302,2313,2906
2302,151,2313
151,1993,2313
3610,1993,151
3610,4439,1993
2359,4439,3610
2359,4134,4439
3963,323,2359
3878,323,3963
3878,693,323
693,1787,323
4145,729,693
729,1787,693
729,4109,1787
1577,4109,729
1577,2258,4109
2579,2258,1577
2579,4419,2258
1660,3133,2579
4010,3133,1660
4010,699,3133
411,699,4010
411,891,699
2371,1064,411
1064,726,411
726,891,411
726,1176,891
1229,2061,726
2153,2061,1229
2153,2852,2061
2087,1991,2153
800,1991,2087
800,1828,1991
3844,1828,800
3844,2259,1828
50,2995,3844
2995,2259,3844
2995,2106,2259
2106,1693,2259
1531,879,2106
1886,1078,1531
1078,158,1531
2096,1824,1078
1824,2129,1078
2527,234,1824
1209,234,2527
1209,1107,234
3010,2654,1209
4250,1506,3010
1506,2538,3010
1327,727,1506
727,2603,1506
94,1242,727
1242,2166,727
2354,3255,1242
3255,1659,1242
3308,555,3255
555,2956,3255
889,2956,555
889,29,2956
2946,2910,889
3840,2910,2946
3840,3108,2910
3108,4286,2910
1469,3142,3108
2394,3666,1469
3666,1960,1469
2744,4451,3666
4451,2621,3666
2931,4159,4451
4159,3233,4451
3233,2643,4451
1676,2662,3233
2662,3455,3233
2119,4022,2662
4022,595,2662
1502,4391,4022
3783,4391,1502
3783,3300,4391
3300,3118,4391
3103,1211,3300
1211,3288,3300
1023,4489,1211
1065,4489,1023
1065,3247,4489
2168,3350,1065
3350,3709,1065
3833,1882,3350
4267,1882,3833
4267,3491,1882
4369,3137,4267
255,3137,4369
255,2529,3137
1,3185,255
3185,2479,255
203,2479,3185
203,1288,2479
2799,2577,203
352,2623,2799
2877,2623,352
2877,450,2623
305,854,2877
854,159,2877
159,529,2877
2811,4200,159
4351,4200,2811
4351,3005,4200
4498,3145,4351
